hour,rental_count_2017,rental_count_2025,share_2017_pct,share_2025_pct,share_change_pp
0,145106,727949,2.8844802494823156,1.9478118947613408,-0.9366683547209749
1,107558,513970,2.138084756480221,1.3752568923791177,-0.762827864101103
2,73758,342660,1.4661936394175061,0.9168736049626018,-0.5493200344549043
3,48252,251077,0.9591742656955653,0.6718200960520492,-0.2873541696435161
4,31937,216334,0.6348575918826012,0.5788564012606651,-0.05600119062193609
5,34473,416761,0.6852693040977208,1.115149595744525,0.4298802916468042
6,67709,879894,1.3459489835857796,2.3543792206997125,1.0084302371139329
7,167437,2038541,3.328385590758277,5.454632684101054,2.1262470933427773
8,297970,2934686,5.923177400922399,7.852495570691875,1.9293181697694761
9,173782,1661689,3.454514263473156,4.446269724381897,0.9917554609087409
10,140805,1299424,2.798983098757856,3.4769379771637308,0.6779548784058749
11,170880,1482492,3.39682704389576,3.966782771167389,0.5699557272716289
12,203486,1616103,4.044983309071703,4.324292837217287,0.27930952814558463
13,209042,1628229,4.155427896243314,4.356739020996475,0.20131112475316115
14,227722,1671990,4.526757069815251,4.473832658499447,-0.0529244113158045
15,256360,1883873,5.0960357032602825,5.040779282092195,-0.05525642116808793
16,288744,2282875,5.73977895577386,6.108410176060817,0.3686312202869564
17,343836,3048088,6.834921719715253,8.1559313395297,1.321009619814446
18,503936,3627270,10.017459229825922,9.705679452147017,-0.31177977767890575
19,387540,2451675,7.703688861138593,6.560077322846807,-1.1436115382917862
20,338081,2048528,6.720521323895848,5.481355431701479,-1.239165892194369
21,328733,1862537,6.53469770962655,4.9836894109794825,-1.5510082986470675
22,287317,1525623,5.711412428435148,4.082190684129632,-1.6292217443055161
23,196113,960386,3.898419604749117,2.569755950433705,-1.3286636543154122
