month_no,month,rental_count_2017,rental_count_2025,growth_multiple
1,2025-01,84148,1704188,20.252269810334173
2,2025-02,85592,1629474,19.037690438358727
3,2025-03,188734,2876862,15.242945097332754
4,2025-04,319172,3630749,11.375524795408118
5,2025-05,451224,3859379,8.5531332553233
6,2025-06,536522,4024309,7.5007343594484475
7,2025-07,388669,3536197,9.098222394891282
8,2025-08,540454,3559262,6.585689068819918
9,2025-09,889888,3992296,4.486290409579633
10,2025-10,863113,3407800,3.9482663336086934
11,2025-11,482621,3186968,6.60345902892746
12,2025-12,200440,1965170,9.80428058271802
