metric,value,unit
total_2017_rentals,5030577.0,count
total_2025_rentals,37372654.0,count
total_growth_multiple_2017_to_2025,7.429098888656311,multiple
avg_use_min_2017,28.593463731893976,minute
avg_use_min_2025,20.734894797677466,minute
avg_use_min_change_pct_2017_to_2025,-27.4837949256593,percent
avg_distance_km_2017,3.622813363954075,km
avg_distance_km_2025,2.3034143897972195,km
avg_distance_change_pct_2017_to_2025,-36.419181492607,percent
morning_8_share_pct_2017,5.923177400922399,percent
morning_8_share_pct,7.852495570691875,percent
morning_8_share_pp_change_2017_to_2025,1.9293181697694761,percentage_point
evening_17_19_share_pct_2017,24.556069810679766,percent
evening_17_19_share_pct,24.421688114523523,percent
commute_8_17_18_19_share_pct_2017,30.479247211602168,percent
commute_8_17_18_19_share_pct,32.2741836852154,percent
commute_share_pp_change_2017_to_2025,1.7949364736132303,percentage_point
hour_18_growth_multiple_2017_to_2025,7.197878302006604,multiple
winter_growth_multiple_2017_to_2025,14.314203900805014,multiple
